# Lambda Flux
4.203012e-01 3.473674e-13
1.649477e+00 8.996625e-13
1.239017e+00 8.008876e-13
1.649477e+00 8.560425e-13
1.239017e+00 9.412244e-13
2.163785e+00 9.407545e-13
1.649477e+00 8.996625e-13
1.239017e+00 7.984680e-13
2.163785e+00 6.470285e-13
1.649477e+00 8.560425e-13
1.239017e+00 9.412244e-13
7.836892e-01 1.606668e-12
6.399941e-01 1.255392e-12
4.680016e-01 6.405800e-13
4.442028e-01 4.771543e-13
2.163785e+00 6.470285e-13
1.649477e+00 8.560425e-13
1.239017e+00 9.412244e-13
2.163785e+00 6.470285e-13
1.649477e+00 8.560425e-13
1.239017e+00 9.412244e-13
2.163785e+00 6.470285e-13
1.649477e+00 8.560425e-13
1.239017e+00 9.412244e-13
5.537049e-01 1.987048e-13
4.442028e-01 6.006610e-14
2.163785e+00 9.407545e-13
1.649477e+00 8.996625e-13
1.239017e+00 7.984680e-13
2.163785e+00 6.470285e-13
1.649477e+00 8.560425e-13
1.239017e+00 9.412244e-13
2.163785e+00 9.407545e-13
1.649477e+00 8.996625e-13
1.239017e+00 7.984680e-13
2.163785e+00 6.470285e-13
1.649477e+00 8.560425e-13
1.239017e+00 9.412244e-13
6.729952e-01 4.151687e-13
6.729952e-01 5.924618e-13
1.649477e+00 8.560425e-13
1.239017e+00 9.412244e-13
6.729952e-01 5.924618e-13
1.649477e+00 8.560425e-13
1.239017e+00 9.412244e-13
6.729952e-01 5.924618e-13
1.649477e+00 8.996625e-13
1.239017e+00 8.008876e-13
6.729952e-01 4.151687e-13
7.724619e-01 8.305340e-13
6.226219e-01 6.548400e-13
5.046162e-01 4.830033e-13
7.724619e-01 5.278160e-13
6.226219e-01 4.294980e-13
5.046162e-01 3.338842e-13
7.620551e-01 8.261400e-13
5.822343e-01 6.796680e-13
5.035990e-01 4.958849e-13
7.620551e-01 5.114200e-13
5.822343e-01 4.283968e-13
5.035990e-01 3.321774e-13
2.163785e+00 3.643865e-14
1.649477e+00 8.560425e-13
1.239017e+00 5.492492e-14
6.729952e-01 3.087038e-13
6.729952e-01 1.095832e-12
6.729952e-01 5.523704e-13
4.819969e-01 5.125115e-13
2.209067e+01 2.564919e-13
1.155982e+01 1.252612e-13
4.600019e+00 5.135554e-13
3.350011e+00 5.798952e-13
2.163785e+00 3.020390e-14
1.649477e+00 8.996625e-13
1.239017e+00 6.436136e-14
9.017942e-01 1.968045e-13
7.634912e-01 6.478890e-14
6.729952e-01 2.138208e-13
6.729952e-01 6.993722e-13
6.729952e-01 3.634954e-13
6.246978e-01 5.566840e-13
4.819969e-01 3.607484e-13
3.519021e-01 1.022304e-13
1.239017e+00 1.190443e-13
7.634912e-01 2.332400e-14
6.246978e-01 5.374880e-14
9.017942e-01 2.160860e-13
7.634912e-01 2.552290e-14
7.634912e-01 2.359887e-14
6.246978e-01 1.588469e-14
9.017942e-01 2.137589e-14
6.246978e-01 7.294480e-13
9.017942e-01 8.643439e-13
7.634912e-01 3.164840e-14
6.246978e-01 7.342470e-13
4.819969e-01 5.697337e-13
3.519021e-01 1.158611e-13
7.620551e-01 8.261400e-13
5.822343e-01 6.796680e-13
5.035990e-01 4.958849e-13
7.620551e-01 5.114200e-13
5.822343e-01 4.283968e-13
5.035990e-01 3.321774e-13
4.020013e-01 2.296910e-12
4.020013e-01 1.424383e-12
7.885955e-01 8.781696e-13
7.634912e-01 1.056255e-12
7.634912e-01 8.402924e-13
6.468991e-01 7.322194e-13
6.246978e-01 7.102520e-13
5.469667e-01 5.755050e-13
4.819969e-01 4.136167e-13
4.359983e-01 3.314232e-13
3.519021e-01 1.005266e-13
3.500204e-01 1.113450e-13
1.019494e+02 1.752598e-13
6.184986e+01 5.089455e-13
2.388023e+01 2.623786e-13
1.159021e+01 1.647664e-13
1.019494e+02 1.752598e-13
6.184986e+01 5.089455e-13
2.388023e+01 2.623786e-13
1.159021e+01 1.647664e-13
2.190025e+00 5.790447e-13
2.190025e+00 6.187428e-13
1.630016e+00 7.816600e-13
1.630016e+00 8.589064e-13
1.250021e+00 9.137523e-13
1.250021e+00 9.521252e-13
2.190025e+00 8.993673e-13
1.630016e+00 8.258008e-13
1.630016e+00 9.012080e-13
1.250021e+00 7.818458e-13
1.250021e+00 8.082271e-13
1.838992e+01 1.439467e-13
2.209067e+01 7.111204e-15
1.155982e+01 2.619334e-15
4.600019e+00 5.070381e-14
3.350011e+00 1.261809e-13
2.163785e+00 6.470285e-13
1.649477e+00 8.560425e-13
1.239017e+00 9.412244e-13
2.209067e+01 2.605632e-13
1.155982e+01 1.247425e-13
4.600019e+00 4.738004e-13
3.350011e+00 5.593125e-13
2.163785e+00 9.407545e-13
1.649477e+00 8.996625e-13
1.239017e+00 7.984680e-13
2.200958e+00 1.457447e-13
1.631257e+00 1.143112e-13
2.200958e+00 1.159147e-13
1.631257e+00 1.141274e-13
2.209067e+01 2.564919e-13
1.155982e+01 1.252612e-13
4.600019e+00 5.142071e-13
3.350011e+00 5.790003e-13
2.163785e+00 9.407545e-13
1.649477e+00 8.996625e-13
1.239017e+00 7.984680e-13
7.634912e-01 1.303631e-12
6.246978e-01 1.074976e-12
5.537049e-01 8.771166e-13
4.819969e-01 6.530790e-13
4.442028e-01 5.149487e-13
1.019494e+02 1.752598e-13
6.184986e+01 5.089455e-13
2.388023e+01 2.623786e-13
2.209067e+01 2.632774e-13
2.209067e+01 2.605632e-13
1.838992e+01 1.439467e-13
1.159021e+01 1.647664e-13
1.155982e+01 1.361535e-13
1.155982e+01 1.247425e-13
4.600019e+00 4.770590e-13
4.600019e+00 4.738004e-13
3.350011e+00 5.566278e-13
3.350011e+00 5.584176e-13
2.163785e+00 9.282850e-13
2.163785e+00 9.407545e-13
1.649477e+00 8.778525e-13
1.649477e+00 8.996625e-13
1.239017e+00 8.081463e-13
1.239017e+00 7.984680e-13
9.596430e-01 6.341720e-13
8.652019e-01 4.851000e-13
7.479852e-01 2.492976e-13
6.125714e-01 1.096256e-13
4.772245e-01 5.163804e-13
7.479852e-01 2.372736e-14
6.125714e-01 5.481280e-14
9.596430e-01 3.342680e-13
8.652019e-01 2.051280e-13
7.479852e-01 6.573120e-14
6.125714e-01 5.677040e-13
4.772245e-01 3.630996e-13
7.479852e-01 3.222432e-14
8.652019e-01 2.227995e-14
6.125714e-01 7.389940e-13
9.596430e-01 2.355496e-13
8.652019e-01 2.252250e-13
7.479852e-01 2.597184e-14
7.479852e-01 2.400792e-14
6.125714e-01 1.615020e-14
9.090129e-01 3.759720e-13
9.090129e-01 3.957600e-13
7.712695e-01 4.275700e-13
7.712695e-01 4.275700e-13
6.040549e-01 4.680109e-13
6.040549e-01 4.843888e-13
4.968387e-01 4.585840e-13
4.968387e-01 4.730656e-13
3.870787e-01 1.246945e-13
3.870787e-01 1.293415e-13
3.498162e-01 3.582260e-14
3.498162e-01 3.685100e-14
9.090129e-01 6.233220e-13
9.090129e-01 5.243820e-13
7.712695e-01 7.812870e-13
7.712695e-01 5.947110e-13
6.040549e-01 7.841540e-13
6.040549e-01 6.600790e-13
4.968387e-01 5.804708e-13
4.968387e-01 5.744368e-13
3.870787e-01 1.208220e-13
3.870787e-01 1.192730e-13
3.498162e-01 4.559240e-14
3.498162e-01 4.190730e-14
3.870787e-01 2.199580e-13
3.870787e-01 1.215965e-13
2.133754e+00 1.587650e-13
1.246383e+00 1.484070e-13
2.133754e+00 1.170365e-13
1.246383e+00 2.766095e-13
1.246383e+00 1.166571e-13
1.649477e+00 8.996625e-13
1.239017e+00 7.984680e-13
4.600019e+00 7.103748e-13
3.350011e+00 7.535058e-13
4.600019e+00 5.624343e-13
3.350011e+00 9.217470e-13
9.090129e-01 6.727920e-13
9.090129e-01 5.804480e-13
7.712695e-01 7.346430e-13
7.712695e-01 6.219200e-13
6.040549e-01 6.749680e-13
6.040549e-01 6.600790e-13
4.968387e-01 6.456380e-13
4.968387e-01 5.665926e-13
3.870787e-01 2.184090e-13
3.870787e-01 3.028295e-13
3.498162e-01 6.933129e-14
3.498162e-01 6.110410e-14
9.090129e-01 4.386340e-13
9.090129e-01 4.320380e-13
7.712695e-01 4.314570e-13
7.712695e-01 4.392310e-13
6.040549e-01 5.111890e-13
6.040549e-01 5.161520e-13
4.968387e-01 4.797030e-13
4.968387e-01 4.688418e-13
3.870787e-01 2.222815e-13
3.870787e-01 3.678875e-13
3.498162e-01 4.576380e-14
3.498162e-01 4.610660e-14
9.596430e-01 3.342680e-13
8.652019e-01 2.051280e-13
7.479852e-01 6.573120e-14
6.125714e-01 5.677040e-13
4.772245e-01 3.630996e-13
7.479852e-01 2.400792e-14
6.125714e-01 1.615020e-14
9.596430e-01 6.341720e-13
8.652019e-01 4.851000e-13
7.479852e-01 2.492976e-13
6.125714e-01 1.096256e-13
4.772245e-01 5.163804e-13
9.596430e-01 2.355496e-13
8.652019e-01 2.252250e-13
7.479852e-01 2.597184e-14
