# lambda(micron)   nuFnu(W/m^2)
1.000000e-01 9.631410e-05
1.236673e-01 5.982293e-04
1.529360e-01 2.099800e-03
1.891319e-01 5.574270e-03
2.338943e-01 8.326327e-03
2.892508e-01 1.056189e-02
3.577086e-01 1.477155e-02
4.423686e-01 1.286133e-02
5.470654e-01 1.559640e-02
6.765410e-01 1.254655e-02
8.366600e-01 9.187624e-03
1.034675e+00 1.188575e-02
1.279555e+00 2.817007e-02
1.582391e+00 6.880911e-02
1.956900e+00 9.755172e-02
2.420045e+00 8.520131e-02
2.992805e+00 6.700958e-02
3.701121e+00 5.193953e-02
4.577077e+00 4.007283e-02
5.660348e+00 3.303343e-02
7.000000e+00 2.667206e-02
7.089677e+00 2.653830e-02
7.180503e+00 2.643211e-02
7.272493e+00 2.632320e-02
7.365661e+00 2.621184e-02
7.460023e+00 2.613627e-02
7.555593e+00 2.635409e-02
7.652388e+00 2.686527e-02
7.750423e+00 2.737356e-02
7.849714e+00 2.787918e-02
7.950277e+00 2.838287e-02
8.052128e+00 2.989046e-02
8.155284e+00 3.215724e-02
8.259761e+00 3.592873e-02
8.365577e+00 4.085981e-02
8.472749e+00 4.481444e-02
8.581293e+00 4.762561e-02
8.691229e+00 4.935258e-02
8.802572e+00 5.031600e-02
8.915342e+00 5.084429e-02
9.029557e+00 5.123550e-02
9.145235e+00 5.183757e-02
9.262394e+00 5.280213e-02
9.381055e+00 5.413494e-02
9.501236e+00 5.556007e-02
9.622957e+00 5.701798e-02
9.746237e+00 5.821687e-02
9.871096e+00 5.916012e-02
9.997555e+00 5.972408e-02
1.012563e+01 6.001695e-02
1.025535e+01 6.010917e-02
1.038673e+01 6.008395e-02
1.051980e+01 5.984219e-02
1.065457e+01 5.940846e-02
1.079107e+01 5.875255e-02
1.092931e+01 5.802547e-02
1.106933e+01 5.720905e-02
1.121113e+01 5.625155e-02
1.135476e+01 5.509782e-02
1.150023e+01 5.360749e-02
1.164756e+01 5.183094e-02
1.179677e+01 4.984315e-02
1.194790e+01 4.761626e-02
1.210097e+01 4.548542e-02
1.225599e+01 4.339749e-02
1.241300e+01 4.128674e-02
1.257203e+01 3.975904e-02
1.273309e+01 3.905161e-02
1.289621e+01 3.832264e-02
1.306143e+01 3.836155e-02
1.322876e+01 3.927676e-02
1.339823e+01 4.036339e-02
1.356988e+01 4.156251e-02
1.374372e+01 4.291758e-02
1.391979e+01 4.432859e-02
1.409812e+01 4.566715e-02
1.427873e+01 4.690158e-02
1.446165e+01 4.821573e-02
1.464692e+01 4.973976e-02
1.483456e+01 5.140314e-02
1.502461e+01 5.341533e-02
1.521709e+01 5.676501e-02
1.541204e+01 6.050547e-02
1.560948e+01 6.453864e-02
1.580946e+01 6.890377e-02
1.601199e+01 7.334594e-02
1.621712e+01 7.739027e-02
1.642488e+01 8.139417e-02
1.663530e+01 8.429512e-02
1.684841e+01 8.653756e-02
1.706426e+01 8.827973e-02
1.728287e+01 8.906682e-02
1.750428e+01 8.954092e-02
1.772853e+01 8.926645e-02
1.795565e+01 8.871097e-02
1.818568e+01 8.783901e-02
1.841866e+01 8.676493e-02
1.865462e+01 8.574629e-02
1.889360e+01 8.475345e-02
1.913565e+01 8.373476e-02
1.938080e+01 8.269807e-02
1.962908e+01 8.175359e-02
1.988055e+01 8.090390e-02
2.013524e+01 8.008545e-02
2.039320e+01 7.931161e-02
2.065445e+01 7.852953e-02
2.091906e+01 7.774488e-02
2.118705e+01 7.720939e-02
2.145848e+01 7.678862e-02
2.173339e+01 7.636076e-02
2.201181e+01 7.592977e-02
2.229381e+01 7.553939e-02
2.257941e+01 7.514166e-02
2.286868e+01 7.473415e-02
2.316165e+01 7.429493e-02
2.345837e+01 7.382208e-02
2.375890e+01 7.334222e-02
2.406328e+01 7.275971e-02
2.437155e+01 7.199435e-02
2.468378e+01 7.119673e-02
2.500000e+01 7.040222e-02
3.073734e+01 5.666118e-02
3.779135e+01 4.598624e-02
4.646422e+01 3.643623e-02
5.712745e+01 2.515019e-02
7.023782e+01 1.535038e-02
8.635694e+01 8.545592e-03
1.061753e+02 4.320890e-03
1.305418e+02 2.026418e-03
1.605003e+02 8.945446e-04
1.973341e+02 3.765489e-04
2.426209e+02 1.524912e-04
2.983008e+02 5.996460e-05
3.667589e+02 2.304846e-05
4.509277e+02 8.704863e-06
5.544126e+02 3.243855e-06
6.816467e+02 1.196625e-06
8.380801e+02 4.380725e-07
1.030414e+03 1.594734e-07
1.266887e+03 5.782133e-08
1.557629e+03 2.091000e-08
1.915095e+03 7.551990e-09
2.354597e+03 2.727843e-09
2.894961e+03 9.870479e-10
3.559336e+03 3.585192e-10
4.376180e+03 1.310752e-10
5.380484e+03 4.840908e-11
6.615270e+03 1.814537e-11
8.133431e+03 6.943237e-12
1.000000e+04 1.968105e-12
